Historical Rts2 Publication Microsecond,Historical Rts2 Trading Microsecond,Historical Rts2 Instrument Identification Code,Instruments New Instrument Full Name,Historical Rts2 Transaction Identification Code,Historical Rts2 Venue of Publication,Mifid Entities Commercial Name,Historical Rts2 Price Notation,Historical Rts2 Price,Historical Rts2 Price Currency,Historical Rts2 Notional Amount,Historical Rts2 Notional Currency,Historical Rts2 Flag List,Historical Rts2 Count Event
2022-05-31 05:03:16.000000,2022-04-27 07:56:46.627000,US298785JL15,European Investment Bank DL Notes 2021 31 ,'7208335559536676182,TWEM,TRADEWEB,PERC,87.305,USD,25000,USD,FULJ ILQD,1
2022-05-31 06:33:45.762000,2022-04-27 13:03:46.923000,US298785JL15,European Investment Bank DL Notes 2021 31 ,22d57f8d-88a9-435d-87ae-8280e6bbadd6,BTFE,BLOOMBERG,PERC,87.514,,400000,USD,FULJ ILQD,1
2022-05-31 05:52:34.006124,2022-04-28 07:18:15.527000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205310652340480591,MAEL,MARKETAXESS,PERC,87.019,USD,2900000,USD,ILQD LRGS TPAC,1
2022-05-31 06:36:16.413000,2022-04-28 08:49:58.849000,US298785JL15,European Investment Bank DL Notes 2021 31 ,5a1a4ccc-0d71-4778-b099-90742b6d02af,BTFE,BLOOMBERG,PERC,86.9234,,125000,USD,FULJ ILQD,1
2022-05-31 06:51:57.058000,2022-04-28 08:51:03.369000,US298785JL15,European Investment Bank DL Notes 2021 31 ,391b35d3-7f39-4151-9579-8b255249ec2b,BTFE,BLOOMBERG,PERC,87.083,,75000,USD,FULJ ILQD,1
2022-05-02 17:32:54.054000,2022-04-28 12:27:46.000000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2c92e7fb-5abc-4934-a0c3-3d19cab52ff5,BAPA,BLOOMBERG APA,PERC,86.66,,100000,USD,ILQD,1
2022-05-31 08:10:31.005924,2022-04-28 13:36:52.204000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205310910310372542,TRNL,TRAX,PERC,87.271,USD,36000,USD,FULJ ILQD,1
2022-05-31 06:31:27.821000,2022-04-28 13:36:52.232000,US298785JL15,European Investment Bank DL Notes 2021 31 ,9009b8a3-ac70-4af4-9b5e-04f56c13081b,BTFE,BLOOMBERG,PERC,87.297,,50000,USD,FULJ ILQD,1
2022-05-31 08:08:37.008104,2022-04-28 13:37:15.991000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205310908370498930,TRNL,TRAX,PERC,87.203,USD,14000,USD,FULJ ILQD,1
2022-05-31 07:18:40.016784,2022-04-29 13:45:45.322000,US298785JL15,European Investment Bank DL Notes 2021 31 ,2205310818400422907,TRNL,TRAX,PERC,86.31,USD,42000,USD,FULJ ILQD,1
